a	/ei/	art.一(个);每一(个);(同类事物中)任一个
defeat	/di'fi:t/	n.击败,战胜,失败v.击败,战胜;使失败
defence	/di'fens/	n.(defense)防御,保卫;防务工事;辩护
defect	/'di:fekt/	n.过失;缺点;不足
defend	/di'fend/	v.防守,保卫;为…辩护,为…答辩
deficiency	/di'fiʃənsi/	n.缺乏,不足;缺点,缺陷
deficit	/'defisit/	n.赤字,逆差;亏损,亏空;不足,缺乏
define	/di'fain/	v.给…下定义;阐述;阐释;限定,规定
definite	/'definit/	a.明确的;一定的;意志坚强的,立场坚定的
definition	/,difi'niʃən/	n.定义,解释;(轮廓影像等的)清晰度;阐明;
defy	/di'fai,'di:-/	v.(公然)违抗,反抗;蔑视
degenerate	/di'dʒenəreit/	v.衰退,堕落,蜕化a.堕落的n.堕落者
degree	/di'ɡri:/	n.程度;度数;学位;等级
delay	/di'lei/	v./n.耽搁,延迟
delegate	/'deliɡət/	n.代表vt.委派…为代表;授权;委托
delete	/di'li:t/	vt.删除
deliberate	/di'libərət/	a.深思熟虑的,故意的vt.研讨,商讨
delicate	/'delikət/	a.纤弱的;精致的;微妙的;灵敏的
delicious	/di'liʃəs/	a.美味的;美妙的;使人愉快的
delight	/di'lait/	n.快乐,高兴v.(使)高兴,(使)欣喜
deliver	/di'livə/	v.交付,递送;发表,表达;释放;接生
delivery	/di'livəri/	n.递送;交付;分娩;交货;引渡
demand	/di'mɑ:nd,-'mænd/	n./v.要求,请求,需要(量)v.查问
democracy	/di'mɔkrəsi/	n.民主,民主制,民主国家
democratic	/,demə'krætik,-kəl/	a.民主的
demonstrate	/'demənstreit/	v.论证,证实;演示,说明
denial	/di'naiəl/	n.否认;拒绝;否认某事或某事实的声明
denote	/di'nəut/	vt.表示,意味着
denounce	/di'nauns/	vt.公开指责,公然抨击;谴责
dense	/dens/	a.浓厚的,密集的,稠密的
density	/'densəti/	n.密集,密度,浓度
dental	/'dentəl/	a.牙齿的;牙科(用)的
dentist	/'dentist/	n.牙医
deny	/di'nai/	v.否认,否定;拒绝
depart	/di'pɑ:t/	vi.离开,起程a.过去的,逝世的
department	/di'pɑ:tmənt/	n.部,局,处,科,部门;系,学部
departure	/di'pɑ:tʃə/	n.离开,起程
depend	/di'pend/	v.(on)取决于,依靠,信赖,相信
dependent	/di'pendənt/	a.依靠的,依赖的,从属的;随…而定的
depict	/di'pikt/	v.描绘;描写,描述
deposit	/di'pɔzit/	v.存放;使沉淀;付(保证金)n.存款;沉积物
depress	/di'pres/	v.压抑,降低;使沮丧,压下
deprive	/di'praiv/	vt.剥夺,夺去,使丧失
depth	/depθ/	n.深,深度,深奥,深刻
deputy	/'depjuti/	n.代理人,代表a.副的,代理的
derive	/di'raiv/	v.取得;导出;引申;来自;源自;出自
descend	/di'send/	v.下来,下降;遗传(指财产,气质,权利)
descendant	/di'sendənt/	n.子孙,后代
descent	/di'sent/	n.下降,降下;斜坡;血统,家世
describe	/di'skraib/	v.描述,形容
description	/di'skripʃən/	n.描写,形容;种类
desert	/'dezət/	n.沙漠,不毛之地v.抛弃,遗弃;擅离,开小差
deserve	/di'zə:v/	v.应受,值得
design	/di'zain/	v.设计;构思;绘制;图案;企图n.设计,图样
designate	/'deziɡneit/	v.指明,指出;任命,指派
desirable	/di'zaiərəbl/	a.值得做的;合意的,称心的;期望得到的
desire	/di'zaiə/	v./n.愿望,欲望,要求
desk	/desk/	n.书桌,办公桌,服务台
desolate	/'desələt,'desəleit/	a.荒凉的;孤独的v.使荒芜
despair	/di'spεə/	n.绝望;失望;令人失望的人(事物)v.绝望
despatch	/di'spætʃ/	n./v.(dispatch)派遣;发送n.急件;新闻报道
desperate	/'despərət/	a.不顾一切的,铤而走险的;绝望的,危急的
despise	/di'spaiz/	v.轻视,蔑视
despite	/di'spait/	prep.不管,不顾
dessert	/di'zə:t/	n.正餐后的水果或甜食
destination	/,desti'neiʃən/	n.目的地,终点
destiny	/'destini/	n.命运;天数,天命
destroy	/di'strɔi/	v.破坏,摧毁,消灭
destruction	/di'strʌkʃən/	n.毁坏,毁灭(的原因)
destructive	/di'strʌktiv/	a.破坏性
detach	/di'tætʃ/	vt.分开,分离,分遣,派遣(军队)
detail	/'di:teil,di'teil/	n.细节,详情v.详述
detain	/di'tein/	v.耽搁;扣押,拘留
detect	/di'tekt/	v.察觉,发觉,侦察,探测
detective	/di'tektiv/	n.侦探
detector	/di'tektə/	n.发现者,侦察器,探测器,检波器,检电器
deteriorate	/di'tiəriəreit/	v.(使)恶化,(使)变坏
determine	/di'tə:min/	v.决心,决定;确定,限定
develop	/di'veləp/	v.发展,开发,研制;显现,显影;发育,生长
deviate	/'di:vieit,'di:viət/	v.(from)背离,偏离
device	/di'vais/	n.装置,设备,仪表;方法,设计
devil	/'devəl/	n.魔鬼
devise	/di'vaiz/	vt.设计;发明;图谋;作出(计划);想出(办法)
devote	/di'vəut/	v.(to)奉献,致力
dew	/dju:,du:/	n.露水
diagnose	/'daiəɡnəuz/	vt.诊断(疾病);判断(问题)
diagram	/'daiəɡræm/	n.图表;图解
dial	/'daiəl,dail/	n.钟(表)面,刻度盘,拨号盘v.拨号,打电话
dialect	/'daiəlekt/	n.方言
dialog	/'daiəlɔɡ/	n.(dialogue)对话,对白
diameter	/dai'æmitə/	n.直径
diamond	/'daiəmənd/	n.金钢石,钻石;菱形
diary	/'daiəri/	n.日记,日记簿
dictate	/dik'teit,'dikteit/	v.口授;(使)听写;指令,指示,命令;
dictation	/dik'teiʃən/	n.听写,口述;命令
dictionary	/'dikʃənəri/	n.词典,字典
die	/dai/	vi.死,死亡;(草木)枯萎,凋谢;渴望
diet	/'daiət/	n.饮食,食物
differ	/'difə/	v.(from)与…不同;(with)与…意见不同
difference	/'difərəns/	n.差别,差异,分歧
different	/'difərənt/	a.差异的,差异的,不同的
differentiate	/,difə'renʃieit/	v.区分,区别;(使)不同
difficult	/'difikəlt/	a.困难的,艰难的
difficulty	/'difikəlti/	n.困难,困境,难题
diffuse	/di'fju:s/	v.扩散;传播a.(文章等)冗长的,漫无边际的
dig	/diɡ/	v.挖,掘
digest	/di'dʒest/	vt.消化;领会,融会贯通n.文摘,摘要
digital	/'didʒitəl/	a.数字的;数位的;手指的n.数字
dignity	/'diɡnəti/	n.(举止,态度等的)庄严,端庄;尊贵,高贵
dilemma	/di'lemə,,dai-/	n.(进退两难的)窘境,困境
diligent	/'dilidʒənt/	a.勤奋的,用功的
dilute	/dai'lju:t,di-/	vt.稀释,冲淡a.稀释的,冲淡的
dim	/dim/	a.暗淡的,模糊的
dimension	/di'menʃən,dai-/	n.尺寸,尺度;维(数),度(数)
diminish	/di'miniʃ/	v.缩小,减少,递减
dine	/dain/	v.吃饭,进餐
dinner	/'dinə/	n.正餐,宴会
dip	/dip/	v./n.浸,蘸
diploma	/di'pləumə/	n.毕业文凭,学位证书
diplomatic	/,diplə'mætik/	a.外交的,从事外交的;策略的,有手腕的
direct	/di'rekt,dai-/	a./ad.径直的(地)v.管理,指导;(at,to)指向
direction	/di'rekʃən,dai-/	n.方向,方位;指令,说明
directly	/di'rektli/	ad.直接地,径直地;马上,立即
director	/di'rektə/	n.指导者,主任,导演
directory	/di'rektəri,dai-/	n.人名地址录,(电话)号码簿
dirt	/də:t/	n.污物,污垢
dirty	/'də:ti/	a.弄脏的;下流的v.弄脏,玷污
disable	/dis'eib/	vt.使残废;使失去能力;丧失能力
disappear	/,disə'piə/	v.不见,消失
disappoint	/,disə'pɔint/	vt.失望;(希望等)破灭,挫败(计划等)
disaster	/,di'zɑ:stə/	n.灾难,大祸;彻底的失败
disastrous	/di'zɑ:strəs/	a.灾难性的
disc	/disk/	n.(disk)圆盘,圆面,盘状物
discard	/dis'kɑ:d,'diskɑ:d/	vt.丢弃,抛弃,遗弃
discern	/di'sə:n,-'zə:n/	v.认出,发现;辨别,识别
discharge	/dis'tʃɑ:dʒ/	v./n.卸货,排出;发射,放(电);遣散,解雇
discipline	/'disiplin/	n.纪律,学科
disclose	/dis'kləuz/	v.揭示,泄露
discount	/'diskaunt,dis'k-/	n.折扣;贴现(率)vt.打折扣;不重视
discourage	/dis'kʌridʒ/	v.使泄气,使失去信心
discourse	/'diskɔ:s,dis'kɔ:s/	n.论文;演说;谈话;话语vi.讲述,著述
discover	/dis'kʌvə/	v.发现,显示
discovery	/dis'kʌvəri/	n.发现;被发现的事物
discreet	/dis'kri:t/	a.(言行)谨慎的;慎重的;有判断力的
discrepancy	/dis'krepənsi/	n.相差;差异;矛盾;
discriminate	/dis'krimineit/	v.区别,辨别;(against)有差别地对待,歧视
discuss	/dis'kʌs/	vt.讨论,商议
disease	/di'zi:z/	n.疾病
disgrace	/dis'ɡreis/	n.失宠,耻辱v.使失宠;玷辱,使蒙羞
disguise	/dis'ɡaiz/	n./v.假装,伪装
disgust	/dis'ɡʌst/	n.厌恶,恶心v.使厌恶
dish	/diʃ/	n.碟子,盘子,菜肴
dislike	/dis'laik/	n./v.不喜欢,厌恶
dismay	/dis'mei/	n./v.(使)沮丧;(使)惊慌;(使)失望,(使)绝望
dismiss	/dis'mis/	v.免职,解雇,开除,解散
disorder	/dis'ɔ:də/	n.混乱,杂乱;骚乱;失调,疾病
disperse	/dis'pə:s/	v.(使)分散;(使)散开;疏散
displace	/dis'pleis/	v.移置,转移;取代,置换
display	/,dis'plei/	v./n.陈列,展览,显示(器)
disposal	/dis'pəuzəl/	n.处理,处置;布置,安排
dispose	/dis'pəuz/	v.(of)处理,处置;(for)布置,安排
disposition	/,dispə'ziʃən/	n.排列,部署;性格倾向;倾向,意向
dispute	/dis'pju:t,'dis-/	n.争论,争执v.争论,辩论;反驳;怀疑;阻止
disregard	/disri'ɡɑ:d/	vt.不理会;忽视;漠视n.忽视;漠视
disrupt	/dis'rʌpt/	vt.使混乱,使崩溃,使分裂,使瓦解
dissipate	/'disipeit/	v.驱散;(使云、雾、疑虑等)消散;挥霍
dissolve	/di'zɔlv/	v.(使)溶解,(使)融化;解散,取消
distance	/'distəns/	n.距离,间隔,远方,路程
distant	/'distənt/	a.远的;遥远的;疏远的;不亲近的
distill	/dis'til/	vt.蒸馏,用蒸馏法提取;吸取,提炼
distinct	/dis'tiŋkt/	a.清楚的,明显的;(from)截然不同的
distinction	/dis'tiŋkʃən/	n.区别,差别;级别;特性;声望;显赫
distinguish	/dis'tiŋɡwiʃ/	v.(from)区别,辨别;辨认出;使杰出
distort	/dis'tɔ:t/	v.弄歪(嘴脸等);扭曲;歪曲(真理、事实等)
distract	/dis'trækt/	v.分散;使分心;打扰;使心情烦乱
distress	/di'stres/	n.苦恼;危难;不幸v.使苦恼
distribute	/di'stribju:t,'dis-/	v.分发;分配;分布;配(电);(over)散布
district	/'distrikt/	n.地区,行政区;美国各州的众议院选区
disturb	/dis'tə:b/	v.扰乱,妨碍,使不安
disturbance	/di'stə:bəns/	n.动乱,骚乱,干扰
ditch	/ditʃ/	n.沟,沟渠,水沟
dive	/'di:vei,daiv/	v./n.潜水,跳水,俯冲
diverse	/dai'və:s,di-/	a.多种多样的,(from)不同的
diversion	/dai'və:ʃən,di-/	n.转向,转移;牵制;解闷;娱乐
divert	/dai'və:t,di-/	vt.使转向,使改道;转移(注意力);使娱乐
divide	/di'vaid/	v.分,划分,分开;分配;(by)除
dividend	/'dividend/	n.红利,股息;回报,效益;被除数
divine	/di'vain/	a.神的,神授的,天赐的;极好的,极美的
division	/di'viʒən/	n.分,分割;部门,科,处;除法;分界线
divorce	/di'vɔ:s/	v./n.离婚,分离
dizzy	/'dizi/	a.头晕目眩的,眩晕的;(可能)使人头晕的
do	/强du:,弱du,du:/	aux.v.vt.做,干,办,从事;引起vi.行动
dock	/dɒk/	n.船坞,码头
doctor	/dɔktə/	n.医生;博士vt.授以博士学位;诊断;修改
doctorate	/'dɔktərit/	n.博士学位;博士头衔
document	/'dɔkjumənt/	n.公文,文献
documentary	/,dɔkju'mentəri/	a.文献的n.记录片
dog	/dɔɡ,dɔ:ɡ/	n.狗,雄兽vt.尾随,跟踪
doll	/dɔl/	n.玩偶,玩具娃娃
dollar	/'dɔlə/	n.(美国,加拿大等国货币单位)美元,加元
domain	/dəu'mein/	n.(活动,思想等)领域,范围;领地
dome	/dəum/	n.圆屋顶
domestic	/dəu'mestik/	a.家里的;本国的;驯养的
dominant	/'dɔminənt/	a.支配的,统治的,占优势的
dominate	/'dɔmineit/	v.支配,统治,控制;占优势
donate	/dəu'neit,'dəu-/	vt.损赠(金钱等);赠予
donkey	/'dɔŋki/	n.驴子;蠢人;顽固的人
doom	/du:m/	n.厄运,劫数v.注定,命定
door	/dɔ:/	n.门;门口,出入口;门状物;家;通道
doorway	/'dɔ:wei/	n.门口
dorm	/dɔ:m/	n.(dormitory)［美］［口］宿舍
dose	/dəus/	n.剂量,一服,一剂v.(给…)服药
dot	/dɔt/	n.点,圆点v.在…上打点
doubt	/daut/	n./v.怀疑,疑虑
dove	/dʌv/	n.鸽子
down	/daun/	ad.下;由大到小prep.沿着…而下a.向下的
downstairs	/'daun'stεəz/	ad.在楼下,往楼下
downtown	/'daun'taun/	ad.在城市的商业区n./a.城市商业区(的)
downward	/'daunwəd/	a.向下的ad.(alsodownwards)向下,往下
doze	/dəuz/	v./n.瞌睡;假寐
dozen	/'dʌzən/	n.一打,十二个
draft	/drɑ:ft,dræft/	n.草稿,草案,草图v.起草,草拟
drag	/dræɡ/	v.拖,拖曳
dragon	/'dræɡən/	n.龙
drain	/drein/	n.排水沟,阴沟;消耗,负担v.排去,放干
drama	/'drɑ:mə,dræmə/	n.剧本,戏剧;戏剧性事件或场面
dramatic	/drə'mætik,-kəl/	a.戏剧的,戏剧性的;剧烈的
drastic	/'dræstik/	a.激烈的,严厉的;(药性等)猛烈的
draw	/drɔ:/	v.拉;画;汲取;引出;(to)挨近n.平局;拖曳
drawback	/'drɔ:bæk/	n.欠缺,缺点;退还的关税
drawer	/drɔ:/	n.抽屉
drawing	/'drɔ:iŋ/	n.绘图,图样
dread	/dred/	v./n.恐惧,担心
dream	/dri:m/	n./v.梦,梦想,幻想
dress	/dres/	n.服装,童装,女装v.穿衣,打扮
drift	/drift/	v./n.漂,漂流(物)
drill	/dril/	v.练习;操练;钻孔n.操练;练习;钻孔(机)
drink	/driŋk/	v.(drank,drunk)喝,饮n.饮料;喝酒
